date,fund,return,growth_of_1,drawdown
2021-09-13,Combined Equal Weight,-0.0025804163067568177,1.7682697556658176,-0.054500258440392524
2021-09-14,Combined Equal Weight,-0.0014324195158687495,1.7657368515584815,-0.05585461072245124
2021-09-15,Combined Equal Weight,0.012875051537632581,1.788470804524194,-0.043698690176484645
2021-09-16,Combined Equal Weight,-0.007803687345412979,1.774514137539288,-0.05116136660635617
2021-09-17,Combined Equal Weight,-0.014286215712741267,1.7491630457850929,-0.0647166799996004
2021-09-20,Combined Equal Weight,-0.03329331545513273,1.690927608719309,-0.09585536261229755
2021-09-21,Combined Equal Weight,-0.010663478479630053,1.6728964385531184,-0.10549668949555424
2021-09-22,Combined Equal Weight,0.025647581307518146,1.715802185979967,-0.0825548431095473
2021-09-23,Combined Equal Weight,0.01226022390890155,1.7368383049634641,-0.07130676006193304
2021-09-24,Combined Equal Weight,-0.012367511550657524,1.7153579371652041,-0.08279238443388459
2021-09-27,Combined Equal Weight,-0.0024383260660474325,1.7111753351944128,-0.0850288356708967
2021-09-28,Combined Equal Weight,-0.014791132484124888,1.6858651141079855,-0.09856229538164252
2021-09-29,Combined Equal Weight,0.007466687344714679,1.6984529418203915,-0.0918315418805199
2021-09-30,Combined Equal Weight,-0.0017850033793431167,1.695421197579587,-0.09345262564727597
2021-10-01,Combined Equal Weight,0.02459148163223043,1.7371141168187594,-0.07115928254213433
2021-10-04,Combined Equal Weight,-0.004760865119006868,1.7288439508122626,-0.0755813679149927
2021-10-05,Combined Equal Weight,0.011263409404533147,1.7483166280268116,-0.0651692624006408
2021-10-06,Combined Equal Weight,0.005299640659841376,1.7575820779149793,-0.06021499541358977
2021-10-07,Combined Equal Weight,0.005638156018019544,1.7674915998847391,-0.05491634093433628
2021-10-08,Combined Equal Weight,-0.0023150848948262966,1.7633997067801135,-0.05710428983778637
2021-10-11,Combined Equal Weight,-0.004783810819609662,1.7549639361835223,-0.06161492453782391
2021-10-12,Combined Equal Weight,-0.004723113417267521,1.7466750424697133,-0.06604702367830295
2021-10-13,Combined Equal Weight,0.008046235807029638,1.760729201739678,-0.05853221779814144
2021-10-14,Combined Equal Weight,0.012013720336223655,1.7818821099572009,-0.04722168715720354
2021-10-15,Combined Equal Weight,0.007506264442978243,1.7952573882807517,-0.040069881185470835
